configuration,approach,evaluation_role,scope,fold,population,n,mae_kg,rmse_kg,bias_kg,r2
random_forest_baseline,random_forest,candidate,fold,1,all,27,51.891616,74.609282,-8.261611,0.759405
random_forest_baseline,random_forest,candidate,fold,2,all,27,33.307430,44.583584,-6.430118,0.912600
random_forest_baseline,random_forest,candidate,fold,3,all,26,49.070768,60.163699,4.953757,0.838501
random_forest_baseline,random_forest,candidate,fold,4,all,26,66.568482,94.506801,25.353505,0.537365
random_forest_baseline,random_forest,candidate,fold,5,all,26,66.661081,83.923715,5.407865,0.684127
random_forest_baseline,random_forest,candidate,oof,,all,132,53.334719,73.516583,4.029672,0.756043
random_forest_baseline,random_forest,candidate,oof,,B1,14,31.712476,,31.712476,
random_forest_baseline,random_forest,candidate,oof,,B10,13,126.922069,,-126.922069,
dense,dense_feature_network,candidate,fold,1,all,27,59.160675,83.986233,-9.224690,0.695129
dense,dense_feature_network,candidate,fold,2,all,27,35.611475,58.557241,-14.032715,0.849228
dense,dense_feature_network,candidate,fold,3,all,26,56.764493,79.492093,-6.460589,0.718065
dense,dense_feature_network,candidate,fold,4,all,26,64.351874,88.986990,24.165363,0.589829
dense,dense_feature_network,candidate,fold,5,all,26,51.208901,66.745084,-4.407574,0.800206
dense,dense_feature_network,candidate,oof,,all,132,53.328068,76.328556,-2.138051,0.737023
dense,dense_feature_network,candidate,oof,,B1,14,34.141826,,23.390354,
dense,dense_feature_network,candidate,oof,,B10,13,133.350270,,-133.350270,
compact_cnn,compact_cnn,candidate,fold,1,all,27,61.334823,91.538331,-33.315754,0.637835
compact_cnn,compact_cnn,candidate,fold,2,all,27,52.178583,70.617196,-23.507089,0.780730
compact_cnn,compact_cnn,candidate,fold,3,all,26,67.598375,87.605966,23.840294,0.657573
compact_cnn,compact_cnn,candidate,fold,4,all,26,64.832032,84.085122,14.811059,0.633773
compact_cnn,compact_cnn,candidate,fold,5,all,26,85.144816,106.938706,-28.170436,0.487123
compact_cnn,compact_cnn,candidate,oof,,all,132,66.074377,88.830340,-9.558431,0.643823
compact_cnn,compact_cnn,candidate,oof,,B1,14,21.657117,,15.172737,
compact_cnn,compact_cnn,candidate,oof,,B10,13,177.266492,,-177.266492,
resnet18_pretrained_partial,resnet18,candidate,fold,1,all,27,74.765474,105.407419,66.996702,0.519778
resnet18_pretrained_partial,resnet18,candidate,fold,2,all,27,65.151376,81.849187,23.255542,0.705431
resnet18_pretrained_partial,resnet18,candidate,fold,3,all,26,55.153438,68.914819,11.287701,0.788103
resnet18_pretrained_partial,resnet18,candidate,fold,4,all,26,103.977470,129.579690,91.846779,0.130267
resnet18_pretrained_partial,resnet18,candidate,fold,5,all,26,69.071316,86.013531,-26.812404,0.668200
resnet18_pretrained_partial,resnet18,candidate,oof,,all,132,73.568279,96.658989,33.493822,0.578277
resnet18_pretrained_partial,resnet18,candidate,oof,,B1,14,26.122145,,13.439611,
resnet18_pretrained_partial,resnet18,candidate,oof,,B10,13,64.468043,,-17.466026,
training_mean_reference,training_mean,reference,fold,1,all,27,123.940035,152.109924,-0.899471,-0.000035
training_mean_reference,training_mean,reference,fold,2,all,27,125.563316,150.806659,-0.061376,-0.000000
training_mean_reference,training_mean,reference,fold,3,all,26,120.076923,150.576605,16.134978,-0.011615
training_mean_reference,training_mean,reference,fold,4,all,26,116.730769,139.599698,13.500726,-0.009441
training_mean_reference,training_mean,reference,fold,5,all,26,117.604499,152.046732,-28.647315,-0.036805
training_mean_reference,training_mean,reference,oof,,all,132,120.843238,149.139747,-0.001854,-0.003992
training_mean_reference,training_mean,reference,oof,,B1,14,195.919965,,195.919965,
training_mean_reference,training_mean,reference,oof,,B10,13,292.492577,,-292.492577,
