configuration,evaluation_role,sample_scope,farm,sample_count,mae_kg,median_abs_error_kg,bias_kg,confounding_note
compact_cnn,baseline,full_sample,Faco,87,82.693930,65.075123,-7.072661,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
compact_cnn,baseline,full_sample,Manezinho,45,33.943241,23.484152,-14.364254,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
compact_cnn,baseline,shared_range_92_265,Faco,18,87.072876,76.204594,77.548958,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
compact_cnn,baseline,shared_range_92_265,Manezinho,25,43.801762,24.601873,-38.385970,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
dense,baseline,full_sample,Faco,87,60.283467,37.144342,-11.723289,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
dense,baseline,full_sample,Manezinho,45,39.880964,29.384973,16.393409,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
dense,baseline,shared_range_92_265,Faco,18,57.654117,29.671198,54.799180,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
dense,baseline,shared_range_92_265,Manezinho,25,39.604059,25.528467,5.853150,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
random_forest_baseline,baseline,full_sample,Faco,87,65.448218,47.907866,4.184262,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
random_forest_baseline,baseline,full_sample,Manezinho,45,29.915287,18.174322,3.730797,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
random_forest_baseline,baseline,shared_range_92_265,Faco,18,80.489673,70.071814,68.723848,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
random_forest_baseline,baseline,shared_range_92_265,Manezinho,25,31.299097,21.706144,-15.042264,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
resnet18_pretrained_partial,baseline,full_sample,Faco,87,94.112767,78.046864,51.143607,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
resnet18_pretrained_partial,baseline,full_sample,Manezinho,45,33.848934,23.049236,-0.629095,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
resnet18_pretrained_partial,baseline,shared_range_92_265,Faco,18,124.470570,112.092797,103.546176,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
resnet18_pretrained_partial,baseline,shared_range_92_265,Manezinho,25,37.215378,34.336474,-14.607656,"Fazenda, faixa de peso extremo e aquisição permanecem confundidas na amostra atual."
