configuration,fold,fraction,n_train,evaluated_population,n_eval,mae_kg,bias_kg,artifact_action
compact_cnn_baseline,1,0.50,52,oof,27,76.364421,30.670074,retrained
compact_cnn_baseline,2,0.50,52,oof,27,58.060814,-48.953971,retrained
compact_cnn_baseline,3,0.50,53,oof,26,65.165905,-11.859670,retrained
compact_cnn_baseline,4,0.50,53,oof,26,67.790951,-2.089694,retrained
compact_cnn_baseline,5,0.50,53,oof,26,86.683797,-33.930252,retrained
compact_cnn_baseline,1,0.75,79,oof,27,64.067279,-41.868143,retrained
compact_cnn_baseline,2,0.75,79,oof,27,63.673904,-53.108707,retrained
compact_cnn_baseline,3,0.75,80,oof,26,53.257296,-16.421566,retrained
compact_cnn_baseline,4,0.75,80,oof,26,61.838909,10.480277,retrained
compact_cnn_baseline,5,0.75,80,oof,26,82.224128,-53.785849,retrained
compact_cnn_baseline,1,1.00,105,oof,27,61.334823,-33.315754,reused
compact_cnn_baseline,2,1.00,105,oof,27,52.178583,-23.507089,reused
compact_cnn_baseline,3,1.00,106,oof,26,67.598375,23.840294,reused
compact_cnn_baseline,4,1.00,106,oof,26,64.832032,14.811059,reused
compact_cnn_baseline,5,1.00,106,oof,26,85.144816,-28.170436,reused
dense_baseline,1,0.50,52,oof,27,61.506179,-8.126222,retrained
dense_baseline,2,0.50,52,oof,27,45.330714,14.935361,retrained
dense_baseline,3,0.50,53,oof,26,58.906414,-0.486365,retrained
dense_baseline,4,0.50,53,oof,26,76.521105,30.511680,retrained
dense_baseline,5,0.50,53,oof,26,67.393631,-18.002335,retrained
dense_baseline,1,0.75,79,oof,27,66.154403,-9.389050,retrained
dense_baseline,2,0.75,79,oof,27,45.268768,2.423600,retrained
dense_baseline,3,0.75,80,oof,26,55.669911,-1.584820,retrained
dense_baseline,4,0.75,80,oof,26,66.220060,23.888441,retrained
dense_baseline,5,0.75,80,oof,26,55.343281,-9.881115,retrained
dense_baseline,1,1.00,105,oof,27,59.160675,-9.224690,retrained
dense_baseline,2,1.00,105,oof,27,35.611475,-14.032716,retrained
dense_baseline,3,1.00,106,oof,26,56.764493,-6.460589,retrained
dense_baseline,4,1.00,106,oof,26,64.351874,24.165363,retrained
dense_baseline,5,1.00,106,oof,26,51.208901,-4.407574,retrained
random_forest_baseline,1,0.50,52,oof,27,56.376402,-3.062654,retrained
random_forest_baseline,2,0.50,52,oof,27,32.986639,-1.426877,retrained
random_forest_baseline,3,0.50,53,oof,26,50.913404,5.882950,retrained
random_forest_baseline,4,0.50,53,oof,26,62.194766,21.817035,retrained
random_forest_baseline,5,0.50,53,oof,26,61.901518,-9.592071,retrained
random_forest_baseline,1,0.75,79,oof,27,48.510184,-5.435126,retrained
random_forest_baseline,2,0.75,79,oof,27,35.244683,-1.845444,retrained
random_forest_baseline,3,0.75,80,oof,26,47.986393,3.365199,retrained
random_forest_baseline,4,0.75,80,oof,26,67.324748,27.306471,retrained
random_forest_baseline,5,0.75,80,oof,26,66.661040,5.188035,retrained
random_forest_baseline,1,1.00,105,oof,27,51.891616,-8.261611,reused
random_forest_baseline,2,1.00,105,oof,27,33.307430,-6.430118,reused
random_forest_baseline,3,1.00,106,oof,26,49.070768,4.953757,reused
random_forest_baseline,4,1.00,106,oof,26,66.568482,25.353505,reused
random_forest_baseline,5,1.00,106,oof,26,66.661081,5.407865,reused
resnet18_pretrained_partial,1,0.50,52,oof,27,76.675260,-29.092818,retrained
resnet18_pretrained_partial,2,0.50,52,oof,27,76.860348,-44.895862,retrained
resnet18_pretrained_partial,3,0.50,53,oof,26,76.439949,-25.549414,retrained
resnet18_pretrained_partial,4,0.50,53,oof,26,67.519529,-20.671155,retrained
resnet18_pretrained_partial,5,0.50,53,oof,26,69.135821,-41.845718,retrained
resnet18_pretrained_partial,1,0.75,79,oof,27,46.602628,0.951823,retrained
resnet18_pretrained_partial,2,0.75,79,oof,27,50.772173,14.772227,retrained
resnet18_pretrained_partial,3,0.75,80,oof,26,66.046520,-13.419151,retrained
resnet18_pretrained_partial,4,0.75,80,oof,26,63.739384,27.053603,retrained
resnet18_pretrained_partial,5,0.75,80,oof,26,68.143333,-27.263657,retrained
resnet18_pretrained_partial,1,1.00,105,oof,27,74.765474,66.996702,reused
resnet18_pretrained_partial,2,1.00,105,oof,27,65.151376,23.255542,reused
resnet18_pretrained_partial,3,1.00,106,oof,26,55.153438,11.287701,reused
resnet18_pretrained_partial,4,1.00,106,oof,26,103.977470,91.846779,reused
resnet18_pretrained_partial,5,1.00,106,oof,26,69.071316,-26.812404,reused
