configuration,fraction,mean_n_train,mean_mae_kg,std_mae_kg,mean_bias_kg,reused_points_count
compact_cnn_baseline,0.50,52.600000,70.813177,9.862466,-13.232703,0
compact_cnn_baseline,0.75,79.600000,65.012303,9.457081,-30.940798,0
compact_cnn_baseline,1.00,105.600000,66.217726,10.798161,-9.268385,5
dense_baseline,0.50,52.600000,61.931608,10.272386,3.766424,0
dense_baseline,0.75,79.600000,57.731284,7.852062,1.091411,0
dense_baseline,1.00,105.600000,53.419484,9.855753,-1.992041,0
random_forest_baseline,0.50,52.600000,52.874546,10.770243,2.723677,0
random_forest_baseline,0.75,79.600000,53.145410,12.265910,5.715827,0
random_forest_baseline,1.00,105.600000,53.499875,12.441416,4.204680,5
resnet18_pretrained_partial,0.50,52.600000,73.326181,4.115302,-32.410994,0
resnet18_pretrained_partial,0.75,79.600000,59.060808,8.684345,0.418969,0
resnet18_pretrained_partial,1.00,105.600000,73.623815,16.470034,33.314864,5
