configuration,evaluation_scope,file_name,perturbation,status,rejection_reason,original_prediction_kg,perturbed_prediction_kg,delta_kg
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,contraction,rejected,contraction_topology_violation,84.709431,,
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,expansion,rejected,contraction_topology_violation,84.709431,,
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,scale_grow,eligible,,84.709431,84.797715,0.088284
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,scale_shrink,eligible,,84.709431,81.397549,-3.311882
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,shift_down,eligible,,84.709431,84.709431,0.000000
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,shift_left,eligible,,84.709431,84.709431,0.000000
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,shift_right,eligible,,84.709431,84.709431,0.000000
random_forest,baseline,0266d87e-faec-497f-8e14-949a5ab6afa3.png,shift_up,eligible,,84.709431,84.709431,0.000000
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,contraction,eligible,,382.518844,333.678166,-48.840678
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,expansion,eligible,,382.518844,435.254669,52.735824
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,scale_grow,eligible,,382.518844,383.463297,0.944453
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,scale_shrink,eligible,,382.518844,380.090338,-2.428506
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,shift_down,eligible,,382.518844,382.518844,0.000000
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,shift_left,eligible,,382.518844,382.518844,0.000000
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,shift_right,eligible,,382.518844,382.518844,0.000000
random_forest,baseline,069d2cff-0b33-42bc-b85e-a4b740860bc1.png,shift_up,eligible,,382.518844,382.518844,0.000000
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,contraction,eligible,,318.571892,209.288828,-109.283064
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,expansion,eligible,,318.571892,431.063605,112.491713
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,scale_grow,eligible,,318.571892,343.557309,24.985417
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,scale_shrink,eligible,,318.571892,240.116401,-78.455492
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,shift_down,eligible,,318.571892,318.571892,0.000000
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,shift_left,eligible,,318.571892,318.571892,0.000000
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,shift_right,eligible,,318.571892,318.571892,0.000000
random_forest,baseline,0831a96e-316e-4041-9025-4d30c31eb021.png,shift_up,eligible,,318.571892,318.571892,0.000000
random_forest,baseline,0bfd53d9-1efc-44a4-b8e7-09bb28b556ef.png,contraction,rejected,contraction_topology_violation,277.417350,,
random_forest,baseline,0bfd53d9-1efc-44a4-b8e7-09bb28b556ef.png,expansion,rejected,contraction_topology_violation,277.417350,,
