configuration,evaluation_role,stratum_type,stratum_value,sample_count,mae_kg,median_abs_error_kg,bias_kg
compact_cnn,baseline,weight_category,B1,14,21.657117,21.722273,15.172737
compact_cnn,baseline,weight_category,B10,13,177.266492,161.340366,-177.266492
compact_cnn,baseline,weight_category,B2,13,29.488219,24.601873,11.398606
compact_cnn,baseline,weight_category,B3,13,50.932185,27.740987,26.448596
compact_cnn,baseline,weight_category,B4,13,74.312569,81.503346,-31.200837
compact_cnn,baseline,weight_category,B5,13,75.263825,68.230130,49.928395
compact_cnn,baseline,weight_category,B6,14,48.750595,43.737454,46.511326
compact_cnn,baseline,weight_category,B7,13,33.488213,28.809899,31.455653
compact_cnn,baseline,weight_category,B8,13,47.937960,30.213478,32.148157
compact_cnn,baseline,weight_category,B9,13,106.395908,122.255240,-106.395908
compact_cnn,baseline,farm,Faco,87,82.693930,65.075123,-7.072661
compact_cnn,baseline,farm,Manezinho,45,33.943241,23.484152,-14.364254
compact_cnn,baseline,resolution,1600x900,18,48.609373,32.684461,35.789744
compact_cnn,baseline,resolution,4032x3024,111,69.303315,53.465543,-17.436601
dense,baseline,weight_category,B1,14,34.141826,31.216331,23.390354
dense,baseline,weight_category,B10,13,133.350270,113.964259,-133.350270
dense,baseline,weight_category,B2,13,56.561717,45.994374,51.742743
dense,baseline,weight_category,B3,13,40.790303,28.246496,36.700648
dense,baseline,weight_category,B4,13,40.631173,21.408600,-22.319130
dense,baseline,weight_category,B5,13,57.612894,28.806616,55.794269
dense,baseline,weight_category,B6,14,35.947579,33.660654,14.044531
dense,baseline,weight_category,B7,13,41.082341,30.291684,29.303885
dense,baseline,weight_category,B8,13,24.028551,20.470265,-11.349718
dense,baseline,weight_category,B9,13,71.946856,65.875995,-68.546360
dense,baseline,farm,Faco,87,60.283467,37.144342,-11.723289
dense,baseline,farm,Manezinho,45,39.880964,29.384973,16.393409
dense,baseline,resolution,1600x900,18,36.178381,26.057485,7.624904
dense,baseline,resolution,4032x3024,111,57.118777,40.112395,-3.854441
random_forest_baseline,baseline,weight_category,B1,14,31.712476,20.083025,31.712476
random_forest_baseline,baseline,weight_category,B10,13,126.922069,134.534306,-126.922069
random_forest_baseline,baseline,weight_category,B2,13,26.199709,7.545197,22.213274
random_forest_baseline,baseline,weight_category,B3,13,52.781140,21.706144,35.667254
random_forest_baseline,baseline,weight_category,B4,13,41.546891,41.946202,-21.442840
random_forest_baseline,baseline,weight_category,B5,13,76.901858,74.929373,54.062148
random_forest_baseline,baseline,weight_category,B6,14,55.479303,49.326972,44.038933
random_forest_baseline,baseline,weight_category,B7,13,42.948726,42.688574,32.589282
random_forest_baseline,baseline,weight_category,B8,13,26.768201,19.182016,13.139392
random_forest_baseline,baseline,weight_category,B9,13,53.585096,32.481156,-49.968217
random_forest_baseline,baseline,farm,Faco,87,65.448218,47.907866,4.184262
random_forest_baseline,baseline,farm,Manezinho,45,29.915287,18.174322,3.730797
random_forest_baseline,baseline,resolution,1600x900,18,51.552107,41.820435,30.531533
random_forest_baseline,baseline,resolution,4032x3024,111,53.899848,32.582650,-0.207441
resnet18_pretrained_partial,baseline,weight_category,B1,14,26.122145,15.128343,13.439611
resnet18_pretrained_partial,baseline,weight_category,B10,13,64.468043,41.002554,-17.466026
resnet18_pretrained_partial,baseline,weight_category,B2,13,39.973507,24.185897,26.287221
resnet18_pretrained_partial,baseline,weight_category,B3,13,50.631098,26.698747,37.140522
resnet18_pretrained_partial,baseline,weight_category,B4,13,75.665059,69.127105,0.790356
resnet18_pretrained_partial,baseline,weight_category,B5,13,122.819778,111.453858,90.210194
resnet18_pretrained_partial,baseline,weight_category,B6,14,90.424278,78.651832,73.473440
resnet18_pretrained_partial,baseline,weight_category,B7,13,85.832289,60.348477,83.521895
resnet18_pretrained_partial,baseline,weight_category,B8,13,109.138702,114.182404,57.408690
resnet18_pretrained_partial,baseline,weight_category,B9,13,72.960974,50.245967,-31.400406
resnet18_pretrained_partial,baseline,farm,Faco,87,94.112767,78.046864,51.143607
resnet18_pretrained_partial,baseline,farm,Manezinho,45,33.848934,23.049236,-0.629095
resnet18_pretrained_partial,baseline,resolution,1600x900,18,88.747809,93.318583,64.853935
resnet18_pretrained_partial,baseline,resolution,4032x3024,111,70.900118,49.770877,28.151626
