experiment,baseline,target,scope,fold,repetition,permutation_seed,n,reference_mae_kg,result_mae_kg,delta_mae_kg,effect
isolated,dense,area,fold,1,,,27,,73.513585,,
isolated,dense,area,fold,2,,,27,,51.270370,,
isolated,dense,area,fold,3,,,26,,73.473525,,
isolated,dense,area,fold,4,,,26,,65.845756,,
isolated,dense,area,fold,5,,,26,,80.514503,,
isolated,dense,area,oof,,,,132,,68.824585,,
isolated,dense,area_major_axis_product,fold,1,,,27,,73.781746,,
isolated,dense,area_major_axis_product,fold,2,,,27,,58.549560,,
isolated,dense,area_major_axis_product,fold,3,,,26,,61.351542,,
isolated,dense,area_major_axis_product,fold,4,,,26,,63.914699,,
isolated,dense,area_major_axis_product,fold,5,,,26,,81.411197,,
isolated,dense,area_major_axis_product,oof,,,,132,,67.776960,,
isolated,dense,area_power_1_5,fold,1,,,27,,74.906233,,
isolated,dense,area_power_1_5,fold,2,,,27,,52.878879,,
isolated,dense,area_power_1_5,fold,3,,,26,,62.581521,,
isolated,dense,area_power_1_5,fold,4,,,26,,69.672152,,
isolated,dense,area_power_1_5,fold,5,,,26,,81.985226,,
isolated,dense,area_power_1_5,oof,,,,132,,68.336435,,
isolated,dense,aspect_ratio,fold,1,,,27,,86.857208,,
isolated,dense,aspect_ratio,fold,2,,,27,,100.072853,,
isolated,dense,aspect_ratio,fold,3,,,26,,100.836012,,
isolated,dense,aspect_ratio,fold,4,,,26,,146.348532,,
isolated,dense,aspect_ratio,fold,5,,,26,,95.515339,,
isolated,dense,aspect_ratio,oof,,,,132,,105.737187,,
isolated,dense,bbox_area,fold,1,,,27,,64.340540,,
isolated,dense,bbox_area,fold,2,,,27,,59.919185,,
isolated,dense,bbox_area,fold,3,,,26,,58.921491,,
isolated,dense,bbox_area,fold,4,,,26,,75.731842,,
isolated,dense,bbox_area,fold,5,,,26,,84.414299,,
isolated,dense,bbox_area,oof,,,,132,,68.566447,,
isolated,dense,bbox_height,fold,1,,,27,,67.906539,,
isolated,dense,bbox_height,fold,2,,,27,,65.659593,,
isolated,dense,bbox_height,fold,3,,,26,,71.680550,,
isolated,dense,bbox_height,fold,4,,,26,,77.903980,,
isolated,dense,bbox_height,fold,5,,,26,,91.060051,,
isolated,dense,bbox_height,oof,,,,132,,74.720035,,
isolated,dense,bbox_width,fold,1,,,27,,62.834510,,
isolated,dense,bbox_width,fold,2,,,27,,61.391280,,
isolated,dense,bbox_width,fold,3,,,26,,62.030894,,
isolated,dense,bbox_width,fold,4,,,26,,100.139817,,
isolated,dense,bbox_width,fold,5,,,26,,74.493954,,
isolated,dense,bbox_width,oof,,,,132,,72.025588,,
isolated,dense,center_to_end_occupancy_ratio,fold,1,,,27,,145.843964,,
isolated,dense,center_to_end_occupancy_ratio,fold,2,,,27,,138.523659,,
isolated,dense,center_to_end_occupancy_ratio,fold,3,,,26,,125.653929,,
isolated,dense,center_to_end_occupancy_ratio,fold,4,,,26,,129.266797,,
isolated,dense,center_to_end_occupancy_ratio,fold,5,,,26,,119.631773,,
isolated,dense,center_to_end_occupancy_ratio,oof,,,,132,,131.941597,,
isolated,dense,center_vertical_occupancy,fold,1,,,27,,69.979496,,
isolated,dense,center_vertical_occupancy,fold,2,,,27,,72.630105,,
isolated,dense,center_vertical_occupancy,fold,3,,,26,,69.608163,,
isolated,dense,center_vertical_occupancy,fold,4,,,26,,72.342618,,
isolated,dense,center_vertical_occupancy,fold,5,,,26,,88.790639,,
isolated,dense,center_vertical_occupancy,oof,,,,132,,74.619213,,
isolated,dense,centroid_x_offset,fold,1,,,27,,124.349473,,
isolated,dense,centroid_x_offset,fold,2,,,27,,126.797843,,
isolated,dense,centroid_x_offset,fold,3,,,26,,121.134333,,
isolated,dense,centroid_x_offset,fold,4,,,26,,112.329800,,
isolated,dense,centroid_x_offset,fold,5,,,26,,113.981347,,
isolated,dense,centroid_x_offset,oof,,,,132,,119.807273,,
isolated,dense,centroid_y_ratio,fold,1,,,27,,125.396557,,
isolated,dense,centroid_y_ratio,fold,2,,,27,,121.446378,,
isolated,dense,centroid_y_ratio,fold,3,,,26,,132.531045,,
isolated,dense,centroid_y_ratio,fold,4,,,26,,116.389278,,
isolated,dense,centroid_y_ratio,fold,5,,,26,,118.230231,,
isolated,dense,centroid_y_ratio,oof,,,,132,,122.808134,,
isolated,dense,circularity,fold,1,,,27,,125.564872,,
isolated,dense,circularity,fold,2,,,27,,113.765673,,
isolated,dense,circularity,fold,3,,,26,,113.348745,,
isolated,dense,circularity,fold,4,,,26,,107.316104,,
isolated,dense,circularity,fold,5,,,26,,126.978996,,
isolated,dense,circularity,oof,,,,132,,117.429278,,
isolated,dense,convex_area,fold,1,,,27,,72.839473,,
isolated,dense,convex_area,fold,2,,,27,,55.680177,,
isolated,dense,convex_area,fold,3,,,26,,69.088392,,
isolated,dense,convex_area,fold,4,,,26,,72.687511,,
isolated,dense,convex_area,fold,5,,,26,,80.053774,,
isolated,dense,convex_area,oof,,,,132,,69.981834,,
isolated,dense,convexity,fold,1,,,27,,126.073549,,
isolated,dense,convexity,fold,2,,,27,,122.881583,,
isolated,dense,convexity,fold,3,,,26,,122.105849,,
isolated,dense,convexity,fold,4,,,26,,121.968604,,
isolated,dense,convexity,fold,5,,,26,,122.389445,,
isolated,dense,convexity,oof,,,,132,,123.104924,,
isolated,dense,end_vertical_occupancy_max,fold,1,,,27,,77.928623,,
isolated,dense,end_vertical_occupancy_max,fold,2,,,27,,59.196669,,
isolated,dense,end_vertical_occupancy_max,fold,3,,,26,,73.006126,,
isolated,dense,end_vertical_occupancy_max,fold,4,,,26,,76.505949,,
isolated,dense,end_vertical_occupancy_max,fold,5,,,26,,81.716488,,
isolated,dense,end_vertical_occupancy_max,oof,,,,132,,73.593375,,
isolated,dense,end_vertical_occupancy_min,fold,1,,,27,,82.334112,,
isolated,dense,end_vertical_occupancy_min,fold,2,,,27,,78.363520,,
isolated,dense,end_vertical_occupancy_min,fold,3,,,26,,87.883166,,
isolated,dense,end_vertical_occupancy_min,fold,4,,,26,,91.627764,,
isolated,dense,end_vertical_occupancy_min,fold,5,,,26,,93.844285,,
isolated,dense,end_vertical_occupancy_min,oof,,,,132,,86.712664,,
isolated,dense,equivalent_diameter,fold,1,,,27,,72.677710,,
isolated,dense,equivalent_diameter,fold,2,,,27,,52.880203,,
isolated,dense,equivalent_diameter,fold,3,,,26,,66.856444,,
isolated,dense,equivalent_diameter,fold,4,,,26,,70.534022,,
isolated,dense,equivalent_diameter,fold,5,,,26,,81.032422,,
isolated,dense,equivalent_diameter,oof,,,,132,,68.704990,,
isolated,dense,extent,fold,1,,,27,,123.378019,,
isolated,dense,extent,fold,2,,,27,,101.573178,,
isolated,dense,extent,fold,3,,,26,,107.806672,,
isolated,dense,extent,fold,4,,,26,,88.492130,,
isolated,dense,extent,fold,5,,,26,,97.608119,,
isolated,dense,extent,oof,,,,132,,103.903502,,
isolated,dense,feret_diameter,fold,1,,,27,,62.276867,,
isolated,dense,feret_diameter,fold,2,,,27,,61.859361,,
isolated,dense,feret_diameter,fold,3,,,26,,78.027412,,
isolated,dense,feret_diameter,fold,4,,,26,,92.666323,,
isolated,dense,feret_diameter,fold,5,,,26,,75.387607,,
isolated,dense,feret_diameter,oof,,,,132,,73.862068,,
isolated,dense,hu_moment_1,fold,1,,,27,,127.008900,,
isolated,dense,hu_moment_1,fold,2,,,27,,123.793542,,
isolated,dense,hu_moment_1,fold,3,,,26,,121.544771,,
isolated,dense,hu_moment_1,fold,4,,,26,,108.194271,,
isolated,dense,hu_moment_1,fold,5,,,26,,113.744125,,
isolated,dense,hu_moment_1,oof,,,,132,,118.956275,,
isolated,dense,hu_moment_2,fold,1,,,27,,102.967976,,
isolated,dense,hu_moment_2,fold,2,,,27,,107.415637,,
isolated,dense,hu_moment_2,fold,3,,,26,,109.399662,,
isolated,dense,hu_moment_2,fold,4,,,26,,117.557000,,
isolated,dense,hu_moment_2,fold,5,,,26,,104.581741,,
isolated,dense,hu_moment_2,oof,,,,132,,108.336030,,
isolated,dense,major_axis_length,fold,1,,,27,,72.669474,,
isolated,dense,major_axis_length,fold,2,,,27,,59.690664,,
isolated,dense,major_axis_length,fold,3,,,26,,64.485295,,
isolated,dense,major_axis_length,fold,4,,,26,,76.369026,,
isolated,dense,major_axis_length,fold,5,,,26,,73.933896,,
isolated,dense,major_axis_length,oof,,,,132,,69.380435,,
isolated,dense,minor_axis_length,fold,1,,,27,,68.239801,,
isolated,dense,minor_axis_length,fold,2,,,27,,72.836139,,
isolated,dense,minor_axis_length,fold,3,,,26,,64.279284,,
isolated,dense,minor_axis_length,fold,4,,,26,,72.256207,,
isolated,dense,minor_axis_length,fold,5,,,26,,92.724228,,
isolated,dense,minor_axis_length,oof,,,,132,,74.013660,,
isolated,dense,perimeter,fold,1,,,27,,68.739584,,
isolated,dense,perimeter,fold,2,,,27,,53.572805,,
isolated,dense,perimeter,fold,3,,,26,,78.256400,,
isolated,dense,perimeter,fold,4,,,26,,77.173931,,
isolated,dense,perimeter,fold,5,,,26,,94.503177,,
isolated,dense,perimeter,oof,,,,132,,74.247770,,
isolated,dense,roundness,fold,1,,,27,,114.355103,,
isolated,dense,roundness,fold,2,,,27,,120.504096,,
isolated,dense,roundness,fold,3,,,26,,118.601878,,
isolated,dense,roundness,fold,4,,,26,,109.153370,,
isolated,dense,roundness,fold,5,,,26,,109.922775,,
isolated,dense,roundness,oof,,,,132,,114.551720,,
isolated,dense,solidity,fold,1,,,27,,103.362887,,
isolated,dense,solidity,fold,2,,,27,,102.650159,,
isolated,dense,solidity,fold,3,,,26,,97.039464,,
isolated,dense,solidity,fold,4,,,26,,109.058165,,
isolated,dense,solidity,fold,5,,,26,,112.488739,,
isolated,dense,solidity,oof,,,,132,,104.890893,,
isolated,random_forest,area,fold,1,,,27,,57.428873,,
isolated,random_forest,area,fold,2,,,27,,65.144223,,
isolated,random_forest,area,fold,3,,,26,,61.625988,,
isolated,random_forest,area,fold,4,,,26,,61.863343,,
isolated,random_forest,area,fold,5,,,26,,84.325037,,
isolated,random_forest,area,oof,,,,132,,66.004903,,
isolated,random_forest,area_major_axis_product,fold,1,,,27,,57.499320,,
isolated,random_forest,area_major_axis_product,fold,2,,,27,,62.502154,,
isolated,random_forest,area_major_axis_product,fold,3,,,26,,54.704497,,
isolated,random_forest,area_major_axis_product,fold,4,,,26,,65.707233,,
isolated,random_forest,area_major_axis_product,fold,5,,,26,,78.214668,,
isolated,random_forest,area_major_axis_product,oof,,,,132,,63.669138,,
isolated,random_forest,area_power_1_5,fold,1,,,27,,57.413854,,
isolated,random_forest,area_power_1_5,fold,2,,,27,,65.149088,,
isolated,random_forest,area_power_1_5,fold,3,,,26,,61.565899,,
isolated,random_forest,area_power_1_5,fold,4,,,26,,61.861515,,
isolated,random_forest,area_power_1_5,fold,5,,,26,,84.313331,,
isolated,random_forest,area_power_1_5,oof,,,,132,,65.988324,,
isolated,random_forest,aspect_ratio,fold,1,,,27,,86.240828,,
isolated,random_forest,aspect_ratio,fold,2,,,27,,86.726282,,
isolated,random_forest,aspect_ratio,fold,3,,,26,,95.774994,,
isolated,random_forest,aspect_ratio,fold,4,,,26,,106.193575,,
isolated,random_forest,aspect_ratio,fold,5,,,26,,95.932347,,
isolated,random_forest,aspect_ratio,oof,,,,132,,94.057089,,
isolated,random_forest,bbox_area,fold,1,,,27,,62.112594,,
isolated,random_forest,bbox_area,fold,2,,,27,,83.233646,,
isolated,random_forest,bbox_area,fold,3,,,26,,66.482006,,
isolated,random_forest,bbox_area,fold,4,,,26,,87.223550,,
isolated,random_forest,bbox_area,fold,5,,,26,,78.557036,,
isolated,random_forest,bbox_area,oof,,,,132,,75.478605,,
isolated,random_forest,bbox_height,fold,1,,,27,,80.118438,,
isolated,random_forest,bbox_height,fold,2,,,27,,77.075834,,
isolated,random_forest,bbox_height,fold,3,,,26,,71.453118,,
isolated,random_forest,bbox_height,fold,4,,,26,,70.949132,,
isolated,random_forest,bbox_height,fold,5,,,26,,104.168979,,
isolated,random_forest,bbox_height,oof,,,,132,,80.720434,,
isolated,random_forest,bbox_width,fold,1,,,27,,66.901270,,
isolated,random_forest,bbox_width,fold,2,,,27,,59.441426,,
isolated,random_forest,bbox_width,fold,3,,,26,,60.249530,,
isolated,random_forest,bbox_width,fold,4,,,26,,92.789951,,
isolated,random_forest,bbox_width,fold,5,,,26,,79.539970,,
isolated,random_forest,bbox_width,oof,,,,132,,71.653928,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,1,,,27,,120.640948,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,2,,,27,,138.348918,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,3,,,26,,125.027997,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,4,,,26,,138.962680,,
isolated,random_forest,center_to_end_occupancy_ratio,fold,5,,,26,,116.406851,,
isolated,random_forest,center_to_end_occupancy_ratio,oof,,,,132,,127.901986,,
isolated,random_forest,center_vertical_occupancy,fold,1,,,27,,77.904668,,
isolated,random_forest,center_vertical_occupancy,fold,2,,,27,,62.280759,,
isolated,random_forest,center_vertical_occupancy,fold,3,,,26,,64.838860,,
isolated,random_forest,center_vertical_occupancy,fold,4,,,26,,66.940271,,
isolated,random_forest,center_vertical_occupancy,fold,5,,,26,,95.229022,,
isolated,random_forest,center_vertical_occupancy,oof,,,,132,,73.388019,,
isolated,random_forest,centroid_x_offset,fold,1,,,27,,165.118846,,
isolated,random_forest,centroid_x_offset,fold,2,,,27,,129.119529,,
isolated,random_forest,centroid_x_offset,fold,3,,,26,,134.837797,,
