feature_a,feature_b,structural_relation,pearson,spearman,removal_group
area,perimeter,area_contour_circularity,0.962817,0.961921,convex_hull_relations
area,solidity,convex_solidity,0.449791,0.551867,convex_hull_relations
area,circularity,area_contour_circularity,0.244243,0.217289,area_contour_relation
area,equivalent_diameter,area_bijection,0.993513,1.000000,area_transformations
area,bbox_width,none,0.933739,0.928638,bounding_rectangle_relations
area,bbox_height,none,0.932491,0.931197,bounding_rectangle_relations
area,bbox_area,bbox_extent,0.981278,0.980099,bounding_rectangle_relations
area,aspect_ratio,none,0.428902,0.653405,bounding_rectangle_relations
area,extent,bbox_extent,0.412220,0.515536,bounding_rectangle_relations
area,convex_area,convex_solidity,0.991249,0.991589,convex_hull_relations
area,convexity,none,-0.080529,-0.035575,convex_hull_relations
area,major_axis_length,area_major_axis_product|ellipse_roundness,0.980718,0.982818,area_transformations
area,minor_axis_length,none,0.963726,0.969982,equivalent_ellipse_relation
area,roundness,ellipse_roundness,-0.227036,-0.323882,equivalent_ellipse_relation
area,feret_diameter,none,0.929821,0.921363,none
area,hu_moment_1,none,-0.168007,-0.154696,none
area,hu_moment_2,none,0.254429,0.492948,none
area,area_power_1_5,area_bijection,0.993922,1.000000,area_transformations
area,area_major_axis_product,area_major_axis_product,0.992140,0.997480,area_transformations
area,center_vertical_occupancy,none,0.936252,0.974005,none
area,end_vertical_occupancy_min,none,0.821677,0.885100,none
area,end_vertical_occupancy_max,none,0.929676,0.936615,none
area,center_to_end_occupancy_ratio,none,0.168679,0.128814,none
area,centroid_x_offset,none,-0.207654,-0.207385,none
area,centroid_y_ratio,none,-0.180444,-0.203545,none
perimeter,solidity,none,0.412453,0.531648,convex_hull_relations
perimeter,circularity,area_contour_circularity,0.011977,-0.022228,area_contour_relation
perimeter,equivalent_diameter,none,0.969973,0.961921,none
perimeter,bbox_width,none,0.924393,0.910997,none
perimeter,bbox_height,none,0.927372,0.914267,none
perimeter,bbox_area,none,0.960364,0.959849,none
perimeter,aspect_ratio,none,0.434558,0.640428,none
perimeter,extent,none,0.340408,0.452766,none
perimeter,convex_area,none,0.959529,0.957319,convex_hull_relations
perimeter,convexity,convexity_ratio,-0.213971,-0.241421,convex_hull_relations
perimeter,major_axis_length,none,0.953777,0.943231,none
perimeter,minor_axis_length,none,0.958129,0.950645,none
perimeter,roundness,none,-0.202038,-0.289221,none
perimeter,feret_diameter,none,0.918116,0.901228,none
perimeter,hu_moment_1,none,-0.151751,-0.174889,none
perimeter,hu_moment_2,none,0.248510,0.454624,none
perimeter,area_power_1_5,none,0.944084,0.961921,none
perimeter,area_major_axis_product,none,0.940005,0.959234,none
perimeter,center_vertical_occupancy,none,0.910625,0.944462,none
perimeter,end_vertical_occupancy_min,none,0.775179,0.836830,none
perimeter,end_vertical_occupancy_max,none,0.903296,0.894852,none
perimeter,center_to_end_occupancy_ratio,none,0.180772,0.183666,none
perimeter,centroid_x_offset,none,-0.174899,-0.207333,none
perimeter,centroid_y_ratio,none,-0.195716,-0.177988,none
solidity,circularity,none,0.211664,0.134154,none
solidity,equivalent_diameter,none,0.447977,0.551867,none
solidity,bbox_width,none,0.193804,0.439375,none
solidity,bbox_height,none,0.371587,0.420558,none
solidity,bbox_area,none,0.307422,0.464772,none
solidity,aspect_ratio,none,-0.260648,0.379013,none
solidity,extent,none,0.842062,0.675570,none
solidity,convex_area,convex_solidity,0.334926,0.471232,convex_hull_relations
solidity,convexity,none,-0.616126,-0.273197,convex_hull_relations
solidity,major_axis_length,none,0.346819,0.492437,none
solidity,minor_axis_length,none,0.413970,0.501568,none
solidity,roundness,none,0.432459,0.180451,none
solidity,feret_diameter,none,0.161206,0.378789,none
solidity,hu_moment_1,none,-0.810426,-0.619041,none
solidity,hu_moment_2,none,-0.487325,0.037886,none
solidity,area_power_1_5,none,0.442925,0.551867,none
solidity,area_major_axis_product,none,0.422088,0.532927,none
solidity,center_vertical_occupancy,none,0.642462,0.604520,none
solidity,end_vertical_occupancy_min,none,0.578394,0.552801,none
solidity,end_vertical_occupancy_max,none,0.455487,0.550761,none
solidity,center_to_end_occupancy_ratio,none,0.567601,0.070928,none
solidity,centroid_x_offset,none,-0.618835,-0.096210,none
solidity,centroid_y_ratio,none,0.024126,0.044356,none
circularity,equivalent_diameter,none,0.248294,0.217289,none
circularity,bbox_width,none,0.173325,0.144994,none
circularity,bbox_height,none,0.206880,0.177001,none
circularity,bbox_area,none,0.194192,0.162445,none
circularity,aspect_ratio,none,0.021694,0.128722,none
circularity,extent,none,0.300204,0.256067,none
circularity,convex_area,none,0.227374,0.203180,none
circularity,convexity,none,0.540181,0.830433,none
circularity,major_axis_length,none,0.255282,0.228689,none
circularity,minor_axis_length,none,0.197415,0.162518,none
circularity,roundness,none,-0.155346,-0.179778,none
circularity,feret_diameter,none,0.190821,0.155568,none
circularity,hu_moment_1,none,-0.098237,0.073090,none
circularity,hu_moment_2,none,0.044748,0.203801,none
circularity,area_power_1_5,none,0.237416,0.217289,none
circularity,area_major_axis_product,none,0.243042,0.219000,none
circularity,center_vertical_occupancy,none,0.256431,0.193584,none
circularity,end_vertical_occupancy_min,none,0.315427,0.298983,none
circularity,end_vertical_occupancy_max,none,0.251790,0.239527,none
circularity,center_to_end_occupancy_ratio,none,0.025626,-0.178427,none
circularity,centroid_x_offset,none,-0.181984,-0.074525,none
circularity,centroid_y_ratio,none,-0.040645,-0.048129,none
equivalent_diameter,bbox_width,none,0.939226,0.928638,none
equivalent_diameter,bbox_height,none,0.946929,0.931197,none
equivalent_diameter,bbox_area,none,0.978580,0.980099,none
equivalent_diameter,aspect_ratio,none,0.430951,0.653405,none
equivalent_diameter,extent,none,0.402615,0.515536,none
equivalent_diameter,convex_area,none,0.986476,0.991589,none
equivalent_diameter,convexity,none,-0.075584,-0.035575,none
equivalent_diameter,major_axis_length,none,0.986766,0.982818,area_transformations
equivalent_diameter,minor_axis_length,none,0.975060,0.969982,none
equivalent_diameter,roundness,none,-0.232933,-0.323882,none
equivalent_diameter,feret_diameter,none,0.938054,0.921363,none
equivalent_diameter,hu_moment_1,none,-0.166720,-0.154696,none
equivalent_diameter,hu_moment_2,none,0.257157,0.492948,none
equivalent_diameter,area_power_1_5,area_bijection,0.975116,1.000000,area_transformations
equivalent_diameter,area_major_axis_product,none,0.972943,0.997480,area_transformations
equivalent_diameter,center_vertical_occupancy,none,0.943140,0.974005,none
equivalent_diameter,end_vertical_occupancy_min,none,0.825955,0.885100,none
equivalent_diameter,end_vertical_occupancy_max,none,0.936915,0.936615,none
equivalent_diameter,center_to_end_occupancy_ratio,none,0.176957,0.128814,none
equivalent_diameter,centroid_x_offset,none,-0.207387,-0.207385,none
equivalent_diameter,centroid_y_ratio,none,-0.196453,-0.203545,none
bbox_width,bbox_height,bbox_area_product|bbox_aspect_ratio,0.859127,0.835866,bounding_rectangle_relations
bbox_width,bbox_area,bbox_area_product,0.966382,0.955890,bounding_rectangle_relations
bbox_width,aspect_ratio,bbox_aspect_ratio,0.691009,0.799767,bounding_rectangle_relations
bbox_width,extent,none,0.155979,0.395421,bounding_rectangle_relations
bbox_width,convex_area,none,0.956706,0.949345,none
bbox_width,convexity,none,0.128671,0.030344,none
bbox_width,major_axis_length,none,0.967981,0.957599,none
bbox_width,minor_axis_length,none,0.898013,0.879659,none
bbox_width,roundness,none,-0.438223,-0.496017,none
bbox_width,feret_diameter,none,0.982210,0.973884,none
bbox_width,hu_moment_1,none,0.122069,0.017036,none
bbox_width,hu_moment_2,none,0.512115,0.649962,none
bbox_width,area_power_1_5,none,0.917625,0.928638,none
bbox_width,area_major_axis_product,none,0.925239,0.944142,none
bbox_width,center_vertical_occupancy,none,0.788836,0.865594,none
bbox_width,end_vertical_occupancy_min,none,0.638955,0.744751,none
bbox_width,end_vertical_occupancy_max,none,0.836194,0.818308,none
bbox_width,center_to_end_occupancy_ratio,none,0.013771,0.149977,none
bbox_width,centroid_x_offset,none,0.044662,-0.142946,none
bbox_width,centroid_y_ratio,none,-0.239775,-0.239029,none
bbox_height,bbox_area,bbox_area_product,0.946844,0.949882,bounding_rectangle_relations
bbox_height,aspect_ratio,bbox_aspect_ratio,0.240463,0.413165,bounding_rectangle_relations
bbox_height,extent,none,0.245952,0.289432,bounding_rectangle_relations
bbox_height,convex_area,none,0.936674,0.937255,none
bbox_height,convexity,none,-0.054678,0.003676,none
bbox_height,major_axis_length,none,0.921508,0.901570,none
bbox_height,minor_axis_length,none,0.964222,0.956636,none
bbox_height,roundness,none,-0.150861,-0.241770,none
bbox_height,feret_diameter,none,0.897316,0.878405,none
bbox_height,hu_moment_1,none,-0.170771,-0.140304,none
bbox_height,hu_moment_2,none,0.185303,0.377370,none
bbox_height,area_power_1_5,none,0.907983,0.931197,none
bbox_height,area_major_axis_product,none,0.900516,0.925037,none
bbox_height,center_vertical_occupancy,none,0.908133,0.913573,none
bbox_height,end_vertical_occupancy_min,none,0.844961,0.879546,none
bbox_height,end_vertical_occupancy_max,none,0.926583,0.927135,none
bbox_height,center_to_end_occupancy_ratio,none,0.118481,0.046767,none
bbox_height,centroid_x_offset,none,-0.211412,-0.195997,none
bbox_height,centroid_y_ratio,none,-0.108287,-0.100461,none
bbox_area,aspect_ratio,none,0.493659,0.647509,bounding_rectangle_relations
bbox_area,extent,bbox_extent,0.236056,0.383328,bounding_rectangle_relations
bbox_area,convex_area,none,0.992782,0.990331,none
bbox_area,convexity,none,0.018401,-0.008865,none
bbox_area,major_axis_length,none,0.981172,0.978331,none
bbox_area,minor_axis_length,none,0.957910,0.959839,none
bbox_area,roundness,none,-0.305486,-0.386871,none
bbox_area,feret_diameter,none,0.968954,0.960548,none
bbox_area,hu_moment_1,none,-0.037048,-0.070028,none
bbox_area,hu_moment_2,none,0.354019,0.540628,none
bbox_area,area_power_1_5,none,0.972396,0.980099,none
bbox_area,area_major_axis_product,none,0.973415,0.983945,none
bbox_area,center_vertical_occupancy,none,0.881359,0.938493,none
bbox_area,end_vertical_occupancy_min,none,0.763239,0.845758,none
bbox_area,end_vertical_occupancy_max,none,0.905357,0.908940,none
bbox_area,center_to_end_occupancy_ratio,none,0.084719,0.121024,none
bbox_area,centroid_x_offset,none,-0.098986,-0.184062,none
bbox_area,centroid_y_ratio,none,-0.183913,-0.195572,none
aspect_ratio,extent,none,-0.163371,0.491138,bounding_rectangle_relations
aspect_ratio,convex_area,none,0.480728,0.663319,none
aspect_ratio,convexity,none,0.415633,0.004367,none
aspect_ratio,major_axis_length,none,0.527253,0.722311,none
aspect_ratio,minor_axis_length,none,0.347271,0.537372,none
aspect_ratio,roundness,none,-0.655649,-0.623914,none
aspect_ratio,feret_diameter,none,0.620048,0.710821,none
aspect_ratio,hu_moment_1,none,0.572666,0.166744,none
aspect_ratio,hu_moment_2,none,0.783378,0.749386,none
aspect_ratio,area_power_1_5,none,0.422196,0.653405,none
aspect_ratio,area_major_axis_product,none,0.445819,0.678398,none
aspect_ratio,center_vertical_occupancy,none,0.173814,0.576046,none
aspect_ratio,end_vertical_occupancy_min,none,0.009429,0.420113,none
aspect_ratio,end_vertical_occupancy_max,none,0.286039,0.474196,none
aspect_ratio,center_to_end_occupancy_ratio,none,-0.254797,0.271650,none
aspect_ratio,centroid_x_offset,none,0.480173,-0.091008,none
aspect_ratio,centroid_y_ratio,none,-0.291369,-0.366511,none
extent,convex_area,none,0.317298,0.461704,none
extent,convexity,none,-0.531299,-0.163540,none
extent,major_axis_length,none,0.316480,0.473486,none
extent,minor_axis_length,none,0.366078,0.464501,none
extent,roundness,none,0.356067,0.088932,none
extent,feret_diameter,none,0.119156,0.336979,none
extent,hu_moment_1,none,-0.730299,-0.465618,none
extent,hu_moment_2,none,-0.453177,0.089626,none
extent,area_power_1_5,none,0.413140,0.515536,none
extent,area_major_axis_product,none,0.397796,0.499851,none
extent,center_vertical_occupancy,none,0.575982,0.545168,none
extent,end_vertical_occupancy_min,none,0.559095,0.528283,none
extent,end_vertical_occupancy_max,none,0.420636,0.517915,none
extent,center_to_end_occupancy_ratio,none,0.466542,0.034805,none
extent,centroid_x_offset,none,-0.595443,-0.145398,none
extent,centroid_y_ratio,none,-0.078056,-0.081815,none
convex_area,convexity,none,-0.003165,0.002823,convex_hull_relations
convex_area,major_axis_length,none,0.985847,0.986648,none
convex_area,minor_axis_length,none,0.963753,0.969925,none
convex_area,roundness,none,-0.290312,-0.375105,none
convex_area,feret_diameter,none,0.958258,0.950029,none
convex_area,hu_moment_1,none,-0.071787,-0.086177,none
convex_area,hu_moment_2,none,0.325316,0.531095,none
convex_area,area_power_1_5,none,0.984091,0.991589,none
convex_area,area_major_axis_product,none,0.985125,0.994172,none
convex_area,center_vertical_occupancy,none,0.900988,0.954485,none
convex_area,end_vertical_occupancy_min,none,0.788125,0.866686,none
convex_area,end_vertical_occupancy_max,none,0.919384,0.925214,none
convex_area,center_to_end_occupancy_ratio,none,0.103473,0.112699,none
convex_area,centroid_x_offset,none,-0.135370,-0.195160,none
